symbol,trade_date,open,high,low,close,volume,amount,adj_factor,is_suspended,limit_up,limit_down,is_st,is_new_stock,turnover_rate,amplitude,prev_close,free_float_market_cap
600001.SH,2025-01-02,18.4000,18.6760,18.1654,18.4000,1200000,22080000.0000,1.0000,false,20.2400,16.5600,false,false,1.2000,0.0278,18.4000,3680000000.0000
600001.SH,2025-01-03,18.4381,18.7987,18.1719,18.4848,1203100,22239008.1726,1.0000,false,20.2400,16.5600,false,false,1.2000,0.0341,18.4000,3696950905.5892
600001.SH,2025-01-06,18.5223,18.9190,18.2248,18.5681,1206200,22396874.2120,1.0000,false,20.3332,16.6363,false,false,1.2000,0.0376,18.4848,3713625304.5935
600001.SH,2025-01-07,18.6044,19.0338,18.2779,18.6488,1209300,22551946.3988,1.0000,false,20.4249,16.7113,false,false,1.2000,0.0407,18.5681,3729752153.9379
600001.SH,2025-01-08,18.6832,19.1406,18.3311,18.7254,1212400,22702621.7764,1.0000,false,20.5136,16.7839,false,false,1.2000,0.0434,18.6488,3745071226.7269
600001.SH,2025-01-09,18.7575,19.2368,18.3841,18.7967,1215500,22847378.1870,1.0000,false,20.5979,16.8528,false,false,1.2000,0.0455,18.7254,3759338245.4910
600001.SH,2025-01-10,18.8259,19.3204,18.4367,18.8616,1218600,22984804.8127,1.0000,false,20.6764,16.9170,false,false,1.2000,0.0470,18.7967,3772329691.8934
600001.SH,2025-01-13,18.8876,19.3895,18.4885,18.9192,1221700,23113630.5929,1.0000,false,20.7478,16.9755,false,false,1.2000,0.0478,18.8616,3783847195.3710
600001.SH,2025-01-14,18.9415,19.4427,18.5390,18.9686,1224800,23232749.9256,1.0000,false,20.8112,17.0273,false,false,1.2000,0.0478,18.9192,3793721411.7533
600001.SH,2025-01-15,18.9868,19.4793,18.5876,19.0091,1227900,23341245.1159,1.0000,false,20.8655,17.0717,false,false,1.2000,0.0470,18.9686,3801815313.2909
600001.SH,2025-01-16,19.0231,19.4989,18.6335,19.0401,1231000,23438405.0987,1.0000,false,20.9100,17.1082,false,false,1.2000,0.0455,19.0091,3808026823.5072
600001.SH,2025-01-17,19.0497,19.5015,18.6759,19.0615,1234100,23523740.0335,1.0000,false,20.9441,17.1361,false,false,1.2000,0.0434,19.0401,3812290743.6258
600001.SH,2025-01-20,19.0666,19.4878,18.7140,19.0729,1237200,23596991.4578,1.0000,false,20.9676,17.1553,false,false,1.2000,0.0406,19.0615,3814579931.7519
600001.SH,2025-01-21,19.0736,19.4590,18.7469,19.0745,1240300,23658137.7680,1.0000,false,20.9802,17.1656,false,false,1.2000,0.0373,19.0729,3814905711.1938
600001.SH,2025-01-22,19.0710,19.4209,18.7692,19.0666,1243400,23707394.8976,1.0000,false,20.9820,17.1671,false,false,1.2000,0.0342,19.0745,3813317500.0098
